AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
17778,857,517,21334,61,0,4,3,3,rural,2,2,0.1,0,0,2,72,77.6,352.9,9.7,1347,27
62528,2507,644,69406,53,0,12,16,3,urban,2,2,0.1,0,0,2,56,77.5,309.4,10.2,1470.4,87
107288,3809,1384,118017,65,10,2,10,2,urban,7,2,0.1,0,0,2,90,77.5,309.4,10.2,1470.4,86
102394,3635,1321,112633,40,10,4,10,2,urban,2,2,0.1,2,0,2,44,77.5,309.4,10.2,1470.4,85
48452,1827,993,51359,131,0,7,18,2,urban,2,2,0.2,0,0,2,170,77.4,181.5,11.5,1387.7,46
38832,1464,796,41162,148,0,8,18,2,urban,2,2,0.2,0,0,2,167,77.4,181.5,11.5,1387.7,46
59617,2277,882,66175,77,7,9,7,3,urban,7,2,0.1,17.7,0,2,112.3,77.4,181.5,11.5,1387.7,86
63040,2408,933,69974,97,7,9,7,3,urban,7,2,0.1,31.3,0,2,127,77.4,181.5,11.5,1387.7,86
38181,1287,638,42381,106,8,3,8,3,urban,7,2,0.1,0,0,3,134,77.6,352.9,9.7,1347,95
29698,1031,511,32965,131.4,8,7,8,3,urban,7,2,0.1,0,0,2,155.6,77.6,352.9,9.7,1347,95
32094,1114,552,35624,139,8,2,8,3,urban,7,2,0.2,0,0,2,142,77.6,352.9,9.7,1347,95
27925,972,402,30159,68,7,6,7,3,urban,7,2,0,0,0,2,76,77.5,246.4,10.9,1398.2,93
31239,1087,450,35300,72.4,9,6,9,3,urban,7,2,0.1,30.5,0,2,122.6,77.4,181.5,11.5,1387.7,76
16340,567,281,17484,97,8,4,8,3,small urban,7,2,0.1,5,0,2,102,77.6,352.9,9.7,1347,90
23417,813,403,25056,87,6,2,6,3,small urban,7,2,0.1,4.5,0,3,98.5,77.6,352.9,9.7,1347,90
23369,811,402,25005,129.5,8,2,8,3,small urban,7,2,0.1,2,0,3,143,77.6,352.9,9.7,1347,90
23369,811,402,25005,158,8,2,8,3,small urban,7,2,0.1,0,0,3,231,77.6,352.9,9.7,1347,90
21780,756,375,23305,101,8,3,8,3,small urban,7,2,0.2,1.5,0,3,101.5,77.6,352.9,9.7,1347,90
17604,611,303,18836,108,8,3,8,3,small urban,7,2,0.1,0,0,3,124,77.6,352.9,9.7,1347,90
106756,3790,1377,117432,48,8,5,8,2,urban,7,2,0.1,9,0,2,69,77.4,181.5,11.5,1387.7,90
9936,385,124,11228,106,8,3,8,3,urban,7,2,0,0,0,2,124,77.4,181.5,11.5,1387.7,95
16744,665,183,18586,113.8,6,2,6,3,urban,7,2,0.1,0,0,2,194,77.4,181.5,11.5,1387.7,93
44172,1665,906,45939,85,0,6,10,2,urban,2,5,0.1,0,0,2,160,77.5,246.4,10.9,1398.2,55
28656,1080,587,29802,83,7,6,7,2,urban,7,2,0.1,0,0,2,99,77.5,246.4,10.9,1398.2,61
17168,647,352,17855,133,0,5,9,2,urban,2,2,0.1,0,0,2,170,77.5,246.4,10.9,1398.2,4
13800,538,153,15318,74.5,0,2,9,3,urban,2,2,0,0,0,2,75,77.5,246.4,10.9,1398.2,1
54304,1575,663,55933,115,10,2,10,3,urban,7,2,0.2,0,0,2,229,77.4,183.7,11.8,1369.8,89
31873,1119,523,32829,114,5,4,5,3,urban,7,2,0.2,5,0,3,170,77.4,183.7,11.8,1369.8,95
13380,522,149,14852,195.7,0,9,12,3,urban,2,2,0.1,1.2,0,3,220.4,77.5,246.4,10.9,1398.2,59
26757,923,316,29700,197,7,3,7,3,urban,7,2,0.2,0,0,3,211,77.5,246.4,10.9,1398.2,82
22304,1537,631,25204,175.7,9,8,9,3,rural,7,2,0.1,5.3,0,3,184,77.5,246.4,10.9,1398.2,82
13757,684,618,15545,127,9,8,9,3,rural,7,2,0.1,2,0,3,136,77.5,246.4,10.9,1398.2,54
22967,2065,315,25723,117,8,5,8,3,rural,7,2,0.1,0,0,3,174,77.5,246.4,10.9,1398.2,44
35695,1328,453,38551,78.2,0,5,5,3,urban,2,5,0.1,2.4,0,4,82.7,77.5,246.4,10.9,1398.2,24
23036,802,332,24879,66,9,9,9,3,small urban,7,2,0,0,0,4,68.5,77.5,246.4,10.9,1398.2,87
24305,846,350,26249,80.5,9,7,9,3,small urban,7,2,0.1,8.5,0,4,188,77.5,246.4,10.9,1398.2,87
24305,846,350,26249,150,9,7,9,3,small urban,7,2,0.1,11,0,4,154,77.5,246.4,10.9,1398.2,87
24305,846,350,26249,106.3,9,7,9,3,small urban,7,2,0.1,14.3,0,4,111.3,77.5,246.4,10.9,1398.2,87
20851,724,359,23145,158.7,7,4,7,3,small urban,7,2,0.1,1.3,0,3,192.5,77.6,352.9,9.7,1347,87
15072,523,259,16730,123.3,0,4,7,3,small urban,7,2,0.1,7.3,0,3,150,77.6,352.9,9.7,1347,87
15257,529,262,16935,167.5,7,4,7,3,small urban,7,2,0.1,4.5,0,3,215,77.6,352.9,9.7,1347,87
12446,447,259,13815,84.8,9,3,9,3,small urban,7,2,0.1,1,0,2,96.8,77.6,352.9,9.7,1347,87
10927,392,227,12129,68,9,3,9,3,small urban,7,2,0,0,0,2,112,77.6,352.9,9.7,1347,64
8959,486,202,10213,126,0,4,16,3,rural,2,5,0.2,0.2,0,2,151.7,77.6,352.9,9.7,1347,64
19503,673,230,21648,202.5,8,5,6,3,urban,7,2,0.1,0,0,2,213,77.5,246.4,10.9,1398.2,95
14885,581,165,16522,200,0,8,15,3,urban,2,2,0.1,15,0,2,264,77.5,246.4,10.9,1398.2,7
10641,415,118,11812,150,8,2,8,3,urban,7,2,0.1,33.5,0,2,155,77.5,246.4,10.9,1398.2,90
18625,643,220,20674,91,0,5,7,3,urban,7,2,0,0,0,2,156,77.5,246.4,10.9,1398.2,90
35923,1372,532,39875,99,0,5,7,3,urban,7,2,0.1,2,0,2,110,77.5,246.4,10.9,1398.2,90
35923,1372,532,39875,76.5,0,5,7,3,urban,7,2,0.2,35,0,2,89,77.5,246.4,10.9,1398.2,90
26993,931,319,29962,69.5,7,5,7,3,urban,7,2,0.1,2.5,0,2,150.5,77.4,181.5,11.5,1387.7,90
22644,854,464,25814,52,6,4,6,2,urban,7,2,0.1,0,0,4,56,77.4,181.5,11.5,1387.7,90
